date,total_cons,moving_avg,norm_cons
2003-01-01,14774.12,15478.038666666667,0.954521455733108
2003-02-01,13444.73,15376.904666666667,0.8743456691348848
2003-03-01,15284.03,15336.555666666669,0.9965751327867683
2003-04-01,14632.84,15276.102666666668,0.957890917552531
2003-05-01,16466.27,15322.892,1.0746189426904529
2003-06-01,16778.07,15404.396,1.0891741552216652
2003-07-01,18203.65,15570.657666666666,1.1690996224886498
2003-08-01,18985.89,15772.136999999999,1.2037614179993492
2003-09-01,19835.86,15955.999,1.2431600177463036
2003-10-01,18492.0,16111.884666666667,1.1477242037523687
2003-11-01,17071.44,16191.863000000001,1.054322161693191
2003-12-01,16495.71,16225.290333333334,1.0166665533319372
2004-01-01,15019.9,16160.358666666665,0.9294286290180523
2004-02-01,14529.59,16077.608333333334,0.9037158822855597
2004-03-01,16623.99,16069.971,1.0344754200240935
2004-04-01,16326.63,16071.053000000002,1.0159029405229387
2004-05-01,17046.75,16144.073999999999,1.0559137674914028
2004-06-01,18491.43,16292.023,1.1349990114794217
2004-07-01,18951.77,16457.66966666667,1.1515463843817986
2004-08-01,19767.83,16715.005333333334,1.1826397662331987
2004-09-01,20260.76,16907.966,1.1982967081906835
2004-10-01,18526.18,17035.370666666666,1.0875125855788053
2004-11-01,17416.58,17071.931666666667,1.0201880103589138
2004-12-01,16927.81,17099.698333333334,0.9899478733494227
2005-01-01,16082.31,17054.586666666666,0.9429903118926365
2005-02-01,14289.19,16923.724,0.8443289432042264
2005-03-01,17228.07,16898.786333333333,1.0194856399845205
2005-04-01,16639.7,16875.009666666665,0.9860557314446182
2005-05-01,18371.64,16940.74266666667,1.0844648526625003
2005-06-01,19185.57,17071.677,1.1238245662684456
2005-07-01,19332.33,17223.61733333333,1.1224314629067857
2005-08-01,20735.44,17466.641,1.1871452559195554
2005-09-01,20554.33,17642.317666666666,1.1650583777229724
2005-10-01,19473.56,17803.675,1.093794399190055
2005-11-01,19196.56,17894.684666666668,1.0727520689849541
2005-12-01,17368.82,17914.376333333334,0.9695464512310029
2006-01-01,16624.41,17861.735,0.9307276140867614
2006-02-01,15748.49,17753.821666666667,0.8870478872483135
2006-03-01,17867.68,17688.215666666667,1.0101459828800896
2006-04-01,17232.97,17646.248000000003,0.9765798372549223
2006-05-01,18728.58,17701.486,1.0580230382918134
2006-06-01,20625.16,17839.134333333335,1.1561749362165423
2006-07-01,19349.46,17983.453,1.0759591052952955
2006-08-01,21687.34,18222.04466666667,1.1901704993442557
2006-09-01,20833.98,18362.377666666664,1.1346014322437148
2006-10-01,20304.54,18494.974666666665,1.097840919814543
2006-11-01,19324.59,18570.902666666665,1.040584313367069
2006-12-01,17639.57,18542.50733333333,0.9513044640025491
2007-01-01,18219.45,18518.096666666668,0.9838727126203934
2007-02-01,15518.27,18376.44466666667,0.8444653077071455
2007-03-01,17774.75,18293.577666666668,0.9716388081041119
2007-04-01,17693.31,18265.815333333332,0.9686570063867577
2007-05-01,19917.69,18349.185666666668,1.0854808688421902
2007-06-01,19826.79,18445.818333333333,1.0748663811879315
2007-07-01,21541.6,18627.79466666667,1.1564224528707852
2007-08-01,22444.22,18899.629,1.187548178855786
2007-09-01,21491.3,19041.736666666668,1.1286418028047511
2007-10-01,21010.66,19187.43533333333,1.0950218012461141
